date,title,album,lyricist,hungama_id,provider,genre,actor_list,language,singers,shortUrl,keywords
1990,Madhyarathrili,Shanthi Kranthi,{'Hamsalekha'},1441325,hungama,,"{'Khushboo', 'Ran', 'S. P. Balasubrahmanyam', 'Juhi Chawla', 'Ravich', 'S. Janaki'}",Kannada,"{'Khushboo', 'Ran', 'S. P. Balasubrahmanyam', 'Juhi Chawla', 'Ravich', 'S. Janaki'}",https://www.hungama.com/song/madhyarathrili/1441325/,"{'Khushboo', 'Ran', 'Madhyarathrili', 'S. P. Balasubrahmanyam', 'Juhi Chawla', 'Shanthi Kranthi', 'Ravich', 'S. Janaki', 'Hamsalekha'}"
2021,Who's In Your Head,Who's In Your Head,{'Jonas Brothers'},74470276,hungama,Pop,"{'Rami Yacoub', 'Ilya', 'David Stewart', 'Max Martin', 'Shellback', 'Jonas Brothers'}",English,"{'Rami Yacoub', 'Ilya', 'David Stewart', 'Max Martin', 'Shellback', 'Jonas Brothers'}",https://www.hungama.com/song/who%27s-in-your-head/74470276/,"{'Jonas Brothers', 'Rami Yacoub', 'Ilya', 'David Stewart', 'Max Martin', ""Who's In Your Head"", 'Shellback'}"
2021,Leave Before You Love Me,Leave Before You Love Me,{'Marshmello'},66509821,hungama,Pop,"{'Marshmello', 'Jonas Brothers'}",English,"{'Marshmello', 'Jonas Brothers'}",https://www.hungama.com/song/leave-before-you-love-me/66509821/,"{'Marshmello', 'Jonas Brothers', 'Leave Before You Love Me'}"
2020,Five More Minutes,XV,{'Jonas Brothers'},53652987,hungama,Pop,"{'Jonas Brothers', 'Zach Skelton', 'Gian Stone', 'Casey Smith'}",English,"{'Jonas Brothers', 'Zach Skelton', 'Gian Stone', 'Casey Smith'}",https://www.hungama.com/song/five-more-minutes/53652987/,"{'Jonas Brothers', 'Zach Skelton', 'Gian Stone', 'Casey Smith', 'XV', 'Five More Minutes'}"
2020,X,XV,{'Jonas Brothers'},53652986,hungama,Pop,"{'Peter Noos Johansson', 'Wojtek Goral', 'Daniel Echavarria Oviedo “Ovy On The Drums”', 'Janne Bjerger', 'Jonas Brothers', 'Magnus Johansson', 'Tomas Jonsson', 'Hal Rosenfeld', 'Ryan Tedder'}",English,"{'Peter Noos Johansson', 'Wojtek Goral', 'Daniel Echavarria Oviedo “Ovy On The Drums”', 'Janne Bjerger', 'Jonas Brothers', 'Magnus Johansson', 'Tomas Jonsson', 'Hal Rosenfeld', 'Ryan Tedder'}",https://www.hungama.com/song/x/53652986/,"{'Peter Noos Johansson', 'Wojtek Goral', 'Daniel Echavarria Oviedo “Ovy On The Drums”', 'Janne Bjerger', 'Jonas Brothers', 'Magnus Johansson', 'Tomas Jonsson', 'Hal Rosenfeld', 'XV', 'Ryan Tedder', 'X'}"
2020,What A Man Gotta Do,What A Man Gotta Do,{'Jonas Brothers'},51259798,hungama,Pop,"{'Jonas Brothers', 'Ryan Tedder', 'David Stewart'}",English,"{'Jonas Brothers', 'Ryan Tedder', 'David Stewart'}",https://www.hungama.com/song/what-a-man-gotta-do/51259798/,"{'Jonas Brothers', 'Ryan Tedder', 'David Stewart', 'What A Man Gotta Do'}"
2020,I Need You Christmas,I Need You Christmas,{'Jonas Brothers'},59684229,hungama,,"{'Jonas Brothers', 'Gabe Noel', 'Charles Bisharat', 'Jon Dellinger'}",English,"{'Jonas Brothers', 'Gabe Noel', 'Charles Bisharat', 'Jon Dellinger'}",https://www.hungama.com/song/i-need-you-christmas/59684229/,"{'Jonas Brothers', 'Gabe Noel', 'Charles Bisharat', 'I Need You Christmas', 'Jon Dellinger'}"
2019,Sucker,Happiness Begins,{'Jonas Brothers'},48196707,hungama,Pop,"{'Andrew Deroberts', 'Frank Dukes', 'Jonas Brothers', 'Louis Bell', 'Homer Steinweiss', 'Ryan Tedder'}",English,"{'Andrew Deroberts', 'Frank Dukes', 'Jonas Brothers', 'Louis Bell', 'Homer Steinweiss', 'Ryan Tedder'}",https://www.hungama.com/song/sucker/48196707/,"{'Jonas Brothers', 'Louis Bell', 'Homer Steinweiss', 'Happiness Begins', 'Ryan Tedder', 'Andrew Deroberts', 'Frank Dukes', 'Sucker'}"
2019,Runaway,Runaway,{'Sebastián Yatra'},48350217,hungama,Latin~Pop,"{'Natti Natasha', 'Sebastián Yatra', 'Daddy Yankee'}",Spanish,"{'Natti Natasha', 'Sebastián Yatra', 'Daddy Yankee'}",https://www.hungama.com/song/runaway/48350217/,"{'Runaway', 'Natti Natasha', 'Sebastián Yatra', 'Daddy Yankee'}"
2009,Live To Party,Jonas Brothers - Music from the 3D Concert Experience,{'Jonas Brothers'},371842,hungama,Pop,{'Jonas Brothers'},English,{'Jonas Brothers'},https://www.hungama.com/song/live-to-party/371842/,"{'Jonas Brothers', 'Jonas Brothers - Music from the 3D Concert Experience', 'Live To Party'}"
